Gene	Synonymns	Description
LOC107985080	-	uncharacterized LOC107985080
LOC107985081	-	uncharacterized LOC107985081
LOC107985082	-	leucine-rich repeat-containing protein 37A3-like
LOC107985085	-	uncharacterized LOC107985085
LOC107985086	-	uncharacterized LOC107985086
LOC107985087	-	uncharacterized LOC107985087
LOC107985088	-	uncharacterized LOC107985088
LOC107985089	-	uncharacterized LOC107985089
LOC107985090	-	uncharacterized LOC107985090
LOC107985091	-	uncharacterized LOC107985091
LOC107985092	-	uncharacterized LOC107985092
LOC107985093	-	uncharacterized LOC107985093
LOC107985094	-	uncharacterized LOC107985094
LOC107985095	-	uncharacterized LOC107985095
LOC107985096	-	uncharacterized LOC107985096
LOC107985097	-	40S ribosomal protein S29 pseudogene
LOC107985098	-	prefoldin subunit 5 pseudogene
LOC107985099	-	dnaJ homolog subfamily B member 6-like
LOC107985100	-	suppressyn-like
LOC107985101	-	uncharacterized LOC107985101
LOC107985102	-	M-phase phosphoprotein 6 pseudogene
LOC107985103	-	translation initiation factor IF-2-like
LOC107985104	-	40S ribosomal protein S27-like pseudogene
LOC107985106	-	uncharacterized LOC107985106
LOC107985107	-	glycine-rich cell wall structural protein 1.0-like
LOC107985108	-	uncharacterized LOC107985108
LOC107985110	-	uncharacterized LOC107985110
LOC107985113	-	2-iminobutanoate/2-iminopropanoate deaminase pseudogene
LOC107985114	-	cytochrome c oxidase subunit NDUFA4 pseudogene
LOC107985115	-	translation initiation factor IF-2-like
LOC107985116	-	uncharacterized LOC107985116
LOC107985118	-	uncharacterized LOC107985118
LOC107985119	-	uncharacterized LOC107985119
LOC107985120	-	uncharacterized LOC107985120
LOC107985122	-	kinesin-like protein KIF1C pseudogene
LOC107985124	-	uncharacterized LOC107985124
LOC107985125	-	uncharacterized LOC107985125
LOC107985126	-	uncharacterized LOC107985126
LINC01916	-	long intergenic non-protein coding RNA 1916
LOC107985129	-	uncharacterized LOC107985129
LOC107985130	-	uncharacterized LOC107985130
LOC107985131	-	small ubiquitin-related modifier 2 pseudogene
LOC107985132	-	uncharacterized LOC107985132
LOC107985134	-	uncharacterized LOC107985134
LOC107985135	-	uncharacterized LOC107985135
LOC107985136	-	uncharacterized LOC107985136
LOC107985137	-	uncharacterized LOC107985137
LOC107985138	-	uncharacterized LOC107985138
LOC107985139	-	uncharacterized LOC107985139
WDR7-OT1	WDR7-UA1|WDR7-UT1	WDR7 overlapping transcript 1
LOC107985141	-	uncharacterized LOC107985141
LOC107985142	-	uncharacterized LOC107985142
LOC107985143	-	uncharacterized LOC107985143
LOC107985144	-	uncharacterized LOC107985144
LOC107985145	-	uncharacterized LOC107985145
LINC01897	-	long intergenic non-protein coding RNA 1897
LOC107985147	-	uncharacterized LOC107985147
LOC107985149	-	histidine-rich protein PFHRP-II-like
LOC107985151	-	uncharacterized LOC107985151
LOC107985152	-	uncharacterized LOC107985152
LOC107985153	-	uncharacterized LOC107985153
LOC107985154	-	uncharacterized LOC107985154
LOC107985155	-	uncharacterized LOC107985155
LOC107985156	-	uncharacterized LOC107985156
LOC107985157	-	uncharacterized LOC107985157
LOC107985158	-	uncharacterized LOC107985158
LOC107985159	-	uncharacterized LOC107985159
LOC107985160	-	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3 pseudogene
LOC107985161	-	uncharacterized LOC107985161
LOC107985162	-	uncharacterized LOC107985162
LOC107985163	-	uncharacterized LOC107985163
LOC107985164	-	uncharacterized LOC107985164
LOC107985165	-	uncharacterized LOC107985165
LOC107985166	-	uncharacterized LOC107985166
LINC01768	-	long intergenic non-protein coding RNA 1768
LOC107985168	-	uncharacterized LOC107985168
LOC107985171	-	uncharacterized LOC107985171
LOC107985172	-	uncharacterized LOC107985172
LOC107985173	-	uncharacterized LOC107985173
LOC107985174	-	uncharacterized LOC107985174
LOC107985176	-	uncharacterized LOC107985176
LOC107985177	-	uncharacterized LOC107985177
LOC107985178	-	uncharacterized LOC107985178
LOC107985179	-	uncharacterized LOC107985179
LOC107985180	-	uncharacterized LOC107985180
LOC107985181	-	uncharacterized LOC107985181
LOC107985182	-	uncharacterized LOC107985182
LOC107985183	-	uncharacterized LOC107985183
LOC107985184	-	protein enabled homolog
LOC107985185	-	uncharacterized LOC107985185
LOC107985186	-	uncharacterized LOC107985186
LOC107985188	-	uncharacterized LOC107985188
LOC107985189	-	uncharacterized LOC107985189
LINC01779	-	long intergenic non-protein coding RNA 1779
LOC107985191	-	uncharacterized LOC107985191
LOC107985192	-	uncharacterized LOC107985192
LOC107985193	-	uncharacterized LOC107985193
LOC107985194	-	uncharacterized LOC107985194
LINC01691	-	long intergenic non-protein coding RNA 1691
LOC107985200	-	uncharacterized LOC107985200
LOC107985201	-	uncharacterized LOC107985201
LOC107985203	-	uncharacterized LOC107985203
LOC107985204	-	uncharacterized LOC107985204
LOC107985206	-	uncharacterized LOC107985206
LOC107985207	-	uncharacterized LOC107985207
LOC107985208	-	uncharacterized LOC107985208
LOC107985209	-	uncharacterized LOC107985209
LOC107985210	-	uncharacterized LOC107985210
LOC107985211	-	uncharacterized LOC107985211
LOC107985212	-	uncharacterized LOC107985212
LOC107985213	-	uncharacterized LOC107985213
LOC107985215	-	uncharacterized LOC107985215
LOC107985216	-	uncharacterized LOC107985216
LOC107985217	-	uncharacterized LOC107985217
LOC107985219	-	uncharacterized LOC107985219
LOC107985220	-	uncharacterized LOC107985220
LOC107985221	-	uncharacterized LOC107985221
LOC107985222	-	cytochrome c oxidase subunit 7B, mitochondrial pseudogene
LOC107985223	-	uncharacterized LOC107985223
LOC107985224	-	uncharacterized LOC107985224
LOC107985225	-	uncharacterized LOC107985225
LOC107985227	-	uncharacterized LOC107985227
LOC107985228	-	uncharacterized LOC107985228
LOC107985229	-	uncharacterized LOC107985229
LOC107985230	-	uncharacterized LOC107985230
LOC107985231	-	uncharacterized LOC107985231
LOC107985232	-	uncharacterized LOC107985232
LOC107985233	-	uncharacterized LOC107985233
LOC107985235	-	uncharacterized LOC107985235
LOC107985236	-	uncharacterized LOC107985236
LOC107985238	-	uncharacterized LOC107985238
LOC107985239	-	uncharacterized LOC107985239
LOC107985241	-	uncharacterized LOC107985241
LOC107985242	-	uncharacterized LOC107985242
LOC107985243	-	uncharacterized LOC107985243
LOC107985244	-	uncharacterized LOC107985244
LOC107985245	-	uncharacterized LOC107985245
LOC107985246	-	translation initiation factor IF-2
LOC107985249	-	uncharacterized LOC107985249
LOC107985250	-	uncharacterized LOC107985250
LOC107985251	-	uncharacterized LOC107985251
LOC107985253	-	uncharacterized LOC107985253
LINC01735	-	long intergenic non-protein coding RNA 1735
LOC107985255	-	uncharacterized LOC107985255
LOC107985256	-	uncharacterized LOC107985256
LINC02602	-	long intergenic non-protein coding RNA 2602
LOC107985258	-	uncharacterized LOC107985258
LOC107985259	-	uncharacterized LOC107985259
LOC107985260	-	uncharacterized LOC107985260
LOC107985261	-	uncharacterized LOC107985261
LOC107985262	-	uncharacterized LOC107985262
LOC107985263	-	uncharacterized LOC107985263
LOC107985264	-	60S ribosomal protein L35a-like
LOC107985265	-	cytochrome c oxidase assembly protein COX16 homolog, mitochondrial pseudogene
LOC107985268	-	uncharacterized LOC107985268
LOC107985269	-	uncharacterized LOC107985269
LOC107985270	-	uncharacterized LOC107985270
LOC107985271	-	uncharacterized LOC107985271
LOC107985272	-	uncharacterized LOC107985272
LOC107985273	-	uncharacterized LOC107985273
RPS27AP19	-	ribosomal protein S27a pseudogene 19
LOC107985276	-	zinc finger protein 440-like
LOC107985278	-	uncharacterized LOC107985278
LOC107985279	-	uncharacterized LOC107985279
LINC01834	-	long intergenic non-protein coding RNA 1834
LOC107985281	-	uncharacterized LOC107985281
LOC107985282	-	uncharacterized LOC107985282
LOC107985284	-	uncharacterized LOC107985284
LOC107985285	-	uncharacterized LOC107985285
LOC107985286	-	uncharacterized LOC107985286
LOC107985287	-	uncharacterized LOC107985287
LOC107985288	-	uncharacterized LOC107985288
LOC107985289	-	uncharacterized LOC107985289
LOC107985290	-	uncharacterized LOC107985290
LOC107985291	-	uncharacterized LOC107985291
LOC107985293	-	uncharacterized LOC107985293
LOC107985295	-	uncharacterized LOC107985295
LOC107985296	-	uncharacterized LOC107985296
LOC107985297	-	uncharacterized LOC107985297
LOC107985299	-	uncharacterized LOC107985299
LOC107985300	-	uncharacterized LOC107985300
LOC107985301	-	uncharacterized LOC107985301
LOC107985302	-	uncharacterized LOC107985302
LOC107985303	-	uncharacterized LOC107985303
LOC107985304	-	uncharacterized LOC107985304
LOC107985305	-	uncharacterized LOC107985305
LOC107985306	-	uncharacterized LOC107985306
LINC01705	-	long intergenic non-protein coding RNA 1705
LOC107985308	-	uncharacterized LOC107985308
LOC107985309	-	uncharacterized LOC107985309
LOC107985311	-	uncharacterized LOC107985311
LINC01791	-	long intergenic non-protein coding RNA 1791
LOC107985314	-	uncharacterized LOC107985314
LOC107985315	-	uncharacterized LOC107985315
LOC107985317	-	uncharacterized LOC107985317
LOC107985318	-	uncharacterized LOC107985318
LOC107985320	-	uncharacterized LOC107985320
LOC107985321	-	uncharacterized LOC107985321
LOC107985322	-	uncharacterized LOC107985322
LOC107985323	-	uncharacterized LOC107985323
LOC107985324	-	uncharacterized LOC107985324
LOC107985325	-	uncharacterized LOC107985325
LOC107985326	-	uncharacterized LOC107985326
LOC107985327	-	uncharacterized LOC107985327
LOC107985329	-	uncharacterized LOC107985329
LOC107985332	-	uncharacterized LOC107985332
LOC107985334	-	uncharacterized LOC107985334
LOC107985335	-	uncharacterized LOC107985335
LOC107985336	-	uncharacterized LOC107985336
LOC107985337	-	uncharacterized LOC107985337
LOC107985338	-	uncharacterized LOC107985338
LOC107985340	-	uncharacterized LOC107985340
LOC107985341	-	uncharacterized LOC107985341
LOC107985342	-	uncharacterized LOC107985342
LINC01836	-	long intergenic non-protein coding RNA 1836
LOC107985345	-	uncharacterized LOC107985345
LOC107985346	-	uncharacterized LOC107985346
LOC107985347	-	uncharacterized LOC107985347
LOC107985349	-	uncharacterized LOC107985349
TRNAK-UUU	-	transfer RNA lysine (anticodon UUU)
LOC107985352	-	uncharacterized LOC107985352
ACBD3-AS1	-	ACBD3 antisense RNA 1
LOC107985354	-	uncharacterized LOC107985354
LOC107985355	-	uncharacterized LOC107985355
LOC107985357	-	uncharacterized LOC107985357
LOC107985358	-	uncharacterized LOC107985358
LOC107985359	-	uncharacterized LOC107985359
LOC107985360	-	uncharacterized LOC107985360
LOC107985361	-	uncharacterized LOC107985361
LOC107985362	-	uncharacterized LOC107985362
LOC107985363	-	uncharacterized LOC107985363
LOC107985364	-	uncharacterized LOC107985364
LOC107985365	-	uncharacterized LOC107985365
LOC107985366	-	uncharacterized LOC107985366
LOC107985367	-	uncharacterized LOC107985367
LOC107985368	-	uncharacterized LOC107985368
LOC107985369	-	uncharacterized LOC107985369
LOC107985371	-	uncharacterized LOC107985371
LOC107985372	-	uncharacterized LOC107985372
LOC107985373	-	uncharacterized LOC107985373
LOC107985375	-	uncharacterized LOC107985375
LOC107985376	-	uncharacterized LOC107985376
LOC107985377	-	uncharacterized LOC107985377
LOC107985379	-	uncharacterized LOC107985379
LOC107985380	-	transmembrane protein 14C pseudogene
LOC107985381	-	uncharacterized LOC107985381
LOC107985382	-	uncharacterized LOC107985382
LOC107985383	-	uncharacterized LOC107985383
LOC107985384	-	uncharacterized LOC107985384
LOC107985385	-	uncharacterized LOC107985385
LOC107985386	-	uncharacterized LOC107985386
LOC107985387	-	uncharacterized LOC107985387
LOC107985388	-	pre-mRNA-splicing factor cwc22-like
LOC107985389	-	uncharacterized LOC107985389
LOC107985391	-	uncharacterized LOC107985391
LOC107985392	-	uncharacterized LOC107985392
LOC107985393	-	uncharacterized LOC107985393
LOC107985394	-	uncharacterized LOC107985394
LOC107985395	-	uncharacterized LOC107985395
LOC107985396	-	uncharacterized LOC107985396
LOC107985397	-	uncharacterized LOC107985397
LOC107985398	-	uncharacterized LOC107985398
LOC107985399	-	uncharacterized LOC107985399
LOC107985400	-	uncharacterized LOC107985400
LOC107985401	-	uncharacterized LOC107985401
LOC107985402	-	uncharacterized LOC107985402
LOC107985403	-	uncharacterized LOC107985403
LOC107985404	-	uncharacterized LOC107985404
LOC107985405	-	uncharacterized LOC107985405
LOC107985406	-	uncharacterized LOC107985406
LOC107985407	-	uncharacterized LOC107985407
LOC107985408	-	uncharacterized LOC107985408
LOC107985409	-	uncharacterized LOC107985409
LOC107985410	-	uncharacterized LOC107985410
LOC107985411	-	uncharacterized LOC107985411
LOC107985412	-	uncharacterized LOC107985412
LOC107985413	-	uncharacterized LOC107985413
LOC107985414	-	uncharacterized LOC107985414
LOC107985416	-	translation initiation factor IF-2-like
LOC107985417	-	uncharacterized LOC107985417
LOC107985418	-	uncharacterized LOC107985418
LOC107985420	-	uncharacterized LOC107985420
LOC107985421	-	UPF0587 protein C1orf123 homolog pseudogene
LOC107985423	-	uncharacterized LOC107985423
LOC107985427	-	uncharacterized LOC107985427
LOC107985428	-	uncharacterized LOC107985428
LOC107985429	-	uncharacterized LOC107985429
LOC107985430	-	uncharacterized LOC107985430
LOC107985432	-	uncharacterized LOC107985432
LOC107985433	-	putative uncharacterized protein LOC401522
LOC107985434	-	uncharacterized LOC107985434
LOC107985435	-	uncharacterized LOC107985435
LOC107985436	-	uncharacterized LOC107985436
LOC107985437	-	uncharacterized LOC107985437
LOC107985438	-	uncharacterized LOC107985438
LOC107985439	-	uncharacterized LOC107985439
LOC107985440	-	uncharacterized LOC107985440
LOC107985441	-	uncharacterized LOC107985441
LOC107985442	-	uncharacterized LOC107985442
LOC107985443	-	uncharacterized LOC107985443
LOC107985446	-	uncharacterized LOC107985446
LOC107985447	-	uncharacterized LOC107985447
LOC107985448	-	uncharacterized LOC107985448
LOC107985449	-	uncharacterized LOC107985449
LOC107985451	-	uncharacterized LOC107985451
LOC107985452	-	uncharacterized LOC107985452
LOC107985453	-	cytochrome c oxidase subunit NDUFA4 pseudogene
LOC107985454	-	uncharacterized LOC107985454
LOC107985455	-	uncharacterized LOC107985455
LINC01701	-	long intergenic non-protein coding RNA 1701
LOC107985457	-	uncharacterized LOC107985457
LOC107985458	-	uncharacterized LOC107985458
LOC107985459	-	uncharacterized LOC107985459
LOC107985460	-	uncharacterized LOC107985460
LOC107985461	-	uncharacterized LOC107985461
LOC107985462	-	uncharacterized LOC107985462
LINC01641	-	long intergenic non-protein coding RNA 1641
LOC107985464	-	uncharacterized LOC107985464
LOC107985465	-	uncharacterized LOC107985465
LOC107985466	-	uncharacterized LOC107985466
LOC107985467	-	uncharacterized LOC107985467
LOC107985468	-	uncharacterized LOC107985468
LOC107985469	-	uncharacterized LOC107985469
LOC107985470	-	uncharacterized LOC107985470
LOC107985471	-	uncharacterized LOC107985471
LOC107985472	-	mitochondrial import receptor subunit TOM5 homolog pseudogene
LOC107985474	-	uncharacterized LOC107985474
LOC107985475	-	translation initiation factor IF-2-like
LOC107985476	-	putative uncharacterized protein encoded by LINC00205
LOC107985478	-	uncharacterized LOC107985478
LOC107985479	-	uncharacterized LOC107985479
LOC107985480	-	uncharacterized LOC107985480
LOC107985481	-	uncharacterized LOC107985481
LOC107985482	-	uncharacterized LOC107985482
LOC107985483	-	uncharacterized LOC107985483
LOC107985484	-	uncharacterized LOC107985484
LOC107985485	-	uncharacterized LOC107985485
LOC107985486	-	uncharacterized LOC107985486
LOC107985487	-	uncharacterized LOC107985487
LOC107985488	-	uncharacterized LOC107985488
LOC107985490	-	uncharacterized LOC107985490
LOC107985492	-	uncharacterized LOC107985492
LOC107985494	-	uncharacterized LOC107985494
LOC107985495	-	uncharacterized LOC107985495
LOC107985497	-	uncharacterized LOC107985497
LOC107985499	-	uncharacterized LOC107985499
LOC107985500	-	uncharacterized LOC107985500
LOC107985501	-	39S ribosomal protein L51, mitochondrial pseudogene
LOC107985502	-	uncharacterized LOC107985502
LOC107985504	-	uncharacterized LOC107985504
LOC107985505	-	uncharacterized LOC107985505
LOC107985506	-	uncharacterized LOC107985506
LOC107985507	-	uncharacterized LOC107985507
LOC107985508	-	uncharacterized LOC107985508
LOC107985509	-	uncharacterized LOC107985509
LOC107985511	-	uncharacterized LOC107985511
LOC107985512	-	uncharacterized LOC107985512
LOC107985513	-	uncharacterized LOC107985513
LOC107985515	-	uncharacterized LOC107985515
LOC107985516	-	uncharacterized LOC107985516
LOC107985517	-	uncharacterized LOC107985517
LOC107985518	-	uncharacterized LOC107985518
LINC01773	-	long intergenic non-protein coding RNA 1773
LOC107985521	-	uncharacterized LOC107985521
LOC107985522	-	uncharacterized LOC107985522
LOC107985523	-	uncharacterized LOC107985523
LOC107985524	-	uncharacterized LOC107985524
LOC107985525	-	uncharacterized LOC107985525
LOC107985526	-	hapless 2-like
LOC107985528	-	immunoglobulin kappa variable 1-39-like
LOC107985529	-	uncharacterized LOC107985529
LOC107985530	-	transcription and mRNA export factor ENY2 pseudogene
LOC107985532	-	uncharacterized LOC107985532
LOC107985533	-	small nuclear ribonucleoprotein-associated protein N pseudogene
LOC107985534	-	uncharacterized LOC107985534
LOC107985535	WI2-85898F10.1	uncharacterized LOC107985535
LOC107985536	-	uncharacterized LOC107985536
LOC107985537	-	uncharacterized LOC107985537
LOC107985538	-	uncharacterized LOC107985538
LOC107985541	-	uncharacterized LOC107985541
LOC107985542	-	uncharacterized LOC107985542
LOC107985543	-	uncharacterized LOC107985543
LOC107985544	-	uncharacterized LOC107985544
LOC107985545	-	uncharacterized LOC107985545
LOC107985549	-	uncharacterized LOC107985549
LOC107985550	-	uncharacterized LOC107985550
LOC107985551	-	uncharacterized LOC107985551
LOC107985553	-	uncharacterized LOC107985553
LOC107985554	-	uncharacterized LOC107985554
LOC107985555	-	coiled-coil domain-containing protein 188-like
LOC107985556	-	vegetative cell wall protein gp1-like
LOC107985557	-	family with sequence similarity 136 member A pseudogene
LOC107985558	-	uncharacterized LOC107985558
LOC107985561	-	uncharacterized LOC107985561
LOC107985562	-	uncharacterized LOC107985562
LOC107985563	-	uncharacterized LOC107985563
LOC107985564	-	uncharacterized LOC107985564
LOC107985565	-	uncharacterized LOC107985565
LOC107985566	-	uncharacterized LOC107985566
LOC107985567	-	protein LLP homolog pseudogene
LOC107985568	-	uncharacterized LOC107985568
LOC107985570	-	uncharacterized LOC107985570
LOC107985571	-	uncharacterized LOC107985571
LOC107985573	-	uncharacterized LOC107985573
LOC107985576	-	uncharacterized LOC107985576
LOC107985577	-	uncharacterized LOC107985577
NCF4-AS1	-	NCF4 antisense RNA 1
LOC107985579	-	uncharacterized LOC107985579
LOC107985580	-	uncharacterized LOC107985580
LOC107985581	-	uncharacterized LOC107985581
LOC107985582	-	uncharacterized LOC107985582
LOC107985584	-	uncharacterized LOC107985584
LOC107985588	-	uncharacterized LOC107985588
LOC107985590	-	uncharacterized LOC107985590
LOC107985591	-	uncharacterized LOC107985591
LOC107985593	-	uncharacterized LOC107985593
LOC107985594	-	uncharacterized LOC107985594
LOC107985595	-	uncharacterized LOC107985595
LOC107985596	-	uncharacterized LOC107985596
LOC107985599	-	uncharacterized LOC107985599
TRNAG-CCC	-	transfer RNA glycine (anticodon CCC)
TRNAN-GUU	-	transfer RNA asparagine (anticodon GUU)
TRNAE-UUC	-	transfer RNA glutamic acid (anticodon UUC)
TRNAG-CCC	-	transfer RNA glycine (anticodon CCC)
TRNAG-CCC	-	transfer RNA glycine (anticodon CCC)
TRNAK-CUU	-	transfer RNA lysine (anticodon CUU)
TRNAC-GCA	-	transfer RNA cysteine (anticodon GCA)
TRNAG-CCC	-	transfer RNA glycine (anticodon CCC)
TRNAV-CAC	-	transfer RNA valine (anticodon CAC)
TRNAN-GUU	-	transfer RNA asparagine (anticodon GUU)
TRNAN-GUU	-	transfer RNA asparagine (anticodon GUU)
TRNAN-GUU	-	transfer RNA asparagine (anticodon GUU)
TRNAV-CAC	-	transfer RNA valine (anticodon CAC)
TRNAN-GUU	-	transfer RNA asparagine (anticodon GUU)
TRNAV-CAC	-	transfer RNA valine (anticodon CAC)
TRNAV-CAC	-	transfer RNA valine (anticodon CAC)
TRNAQ-CUG	-	transfer RNA glutamine (anticodon CUG)
TRNAN-GUU	-	transfer RNA asparagine (anticodon GUU)
TRNAG-GCC	-	transfer RNA glycine (anticodon GCC)
TRNAG-GCC	-	transfer RNA glycine (anticodon GCC)
TRNAG-GCC	-	transfer RNA glycine (anticodon GCC)
TRNAN-GUU	-	transfer RNA asparagine (anticodon GUU)
TRNAN-GUU	-	transfer RNA asparagine (anticodon GUU)
TRNAE-UUC	-	transfer RNA glutamic acid (anticodon UUC)
TRNAN-GUU	-	transfer RNA asparagine (anticodon GUU)
TRNAN-GUU	-	transfer RNA asparagine (anticodon GUU)
TRNAE-UUC	-	transfer RNA glutamic acid (anticodon UUC)
LOC107985627	-	uncharacterized LOC107985627
LOC107985628	-	protein S100-A11 pseudogene
LOC107985629	-	prefoldin subunit 4-like
LOC107985630	-	family with sequence similarity 136 member A pseudogene
LOC107985631	-	small integral membrane protein 15-like
LOC107985632	-	uncharacterized LOC107985632
LOC107985634	-	uncharacterized LOC107985634
LOC107985635	-	uncharacterized LOC107985635
LOC107985637	-	uncharacterized LOC107985637
LOC107985638	-	uncharacterized LOC107985638
LOC107985639	-	protein S100-A11 pseudogene
LOC107985640	-	X antigen family member 5-like
LOC107985641	-	X antigen family member 3-like
LOC107985642	-	X antigen family member 3-like
LOC107985643	-	TSC22 domain family protein 3 pseudogene
LOC107985644	-	nucleoside diphosphate-linked moiety X motif 19-like
LOC107985645	-	cytochrome c oxidase subunit NDUFA4 pseudogene
LOC107985646	-	uncharacterized LOC107985646
LOC107985647	-	uncharacterized LOC107985647
LOC107985648	-	uncharacterized LOC107985648
LOC107985650	-	uncharacterized LOC107985650
LOC107985651	-	uncharacterized LOC107985651
LOC107985652	-	uncharacterized LOC107985652
LOC107985653	-	uncharacterized LOC107985653
LOC107985655	-	protein S100-A11 pseudogene
LOC107985656	-	uncharacterized LOC107985656
LOC107985657	-	uncharacterized LOC107985657
LOC107985658	-	uncharacterized LOC107985658
LOC107985659	-	X antigen family member 5-like
LOC107985660	-	protein S100-A11 pseudogene
LOC107985661	-	uncharacterized LOC107985661
LOC107985662	-	uncharacterized LOC107985662
LOC107985664	-	uncharacterized LOC107985664
LOC107985665	-	uncharacterized LOC107985665
LOC107985666	-	uncharacterized LOC107985666
LOC107985667	-	uncharacterized LOC107985667
LOC107985669	-	uncharacterized LOC107985669
LOC107985670	-	uncharacterized LOC107985670
LOC107985674	-	uncharacterized LOC107985674
LOC107985675	-	uncharacterized LOC107985675
LOC107985676	-	uncharacterized LOC107985676
LOC107985677	-	uncharacterized LOC107985677
LOC107985678	-	uncharacterized LOC107985678
LOC107985679	-	uncharacterized LOC107985679
LOC107985680	-	uncharacterized LOC107985680
LOC107985681	-	uncharacterized LOC107985681
LOC107985682	-	PHD finger-like domain-containing protein 5A pseudogene
LOC107985683	-	uncharacterized LOC107985683
LOC107985684	-	uncharacterized LOC107985684
LOC107985685	-	uncharacterized LOC107985685
LOC107985686	-	uncharacterized LOC107985686
LOC107985687	-	translation initiation factor IF-2-like
LOC107985688	-	uncharacterized LOC107985688
LOC107985690	-	uncharacterized LOC107985690
LOC107985691	-	N-alpha-acetyltransferase 20 pseudogene
LOC107985692	-	A-kinase anchor protein 17B-like
LOC107985693	-	uncharacterized LOC107985693
LOC107985694	-	uncharacterized LOC107985694
LOC107985695	-	uncharacterized LOC107985695
LOC107985697	-	uncharacterized LOC107985697
LOC107985698	-	uncharacterized LOC107985698
LOC107985699	-	uncharacterized LOC107985699
LOC107985700	-	uncharacterized LOC107985700
LOC107985701	-	uncharacterized LOC107985701
LOC107985703	-	uncharacterized LOC107985703
LOC107985704	-	uncharacterized LOC107985704
LOC107985705	-	uncharacterized LOC107985705
LOC107985706	-	uncharacterized LOC107985706
LOC107985707	-	uncharacterized LOC107985707
LOC107985708	-	uncharacterized LOC107985708
LOC107985709	-	uncharacterized LOC107985709
LOC107985710	-	uncharacterized LOC107985710
LINC01283	-	long intergenic non-protein coding RNA 1283
LOC107985712	-	uncharacterized LOC107985712
LOC107985713	-	uncharacterized LOC107985713
LOC107985714	-	uncharacterized LOC107985714
LOC107985715	-	uncharacterized LOC107985715
LOC107985716	-	uncharacterized LOC107985716
LOC107985717	-	uncharacterized LOC107985717
LOC107985718	-	protein S100-A11 pseudogene
LOC107985719	-	uncharacterized LOC107985719
LOC107985720	-	uncharacterized LOC107985720
LOC107985721	-	uncharacterized LOC107985721
LOC107985725	-	uncharacterized LOC107985725
LOC107985726	-	uncharacterized LOC107985726
LOC107985727	-	succinate dehydrogenase assembly factor 3, mitochondrial pseudogene
LOC107985728	-	collagen alpha-1(III) chain-like
LOC107985729	-	uncharacterized LOC107985729
MIR1302-2HG	-	MIR1302-2 host gene
LOC107985732	-	uncharacterized LOC107985732
LOC107985733	-	uncharacterized LOC107985733
LOC107985734	-	uncharacterized LOC107985734
LOC107985736	-	uncharacterized LOC107985736
LOC107985737	-	uncharacterized LOC107985737
LOC107985740	-	uncharacterized LOC107985740
LOC107985743	-	uncharacterized LOC107985743
LOC107985744	-	uncharacterized LOC107985744
LOC107985745	-	uncharacterized LOC107985745
LOC107985746	-	uncharacterized LOC107985746
LOC107985747	-	uncharacterized LOC107985747
TRNAG-CCC	-	transfer RNA glycine (anticodon CCC)
TRNAV-CAC	-	transfer RNA valine (anticodon CAC)
TRNAN-GUU	-	transfer RNA asparagine (anticodon GUU)
TRNAN-GUU	-	transfer RNA asparagine (anticodon GUU)
TRNAN-GUU	-	transfer RNA asparagine (anticodon GUU)
TRNAV-CAC	-	transfer RNA valine (anticodon CAC)
TRNAN-GUU	-	transfer RNA asparagine (anticodon GUU)
TRNAQ-CUG	-	transfer RNA glutamine (anticodon CUG)
TRNAN-GUU	-	transfer RNA asparagine (anticodon GUU)
TRNAN-GUU	-	transfer RNA asparagine (anticodon GUU)
TRNAE-UUC	-	transfer RNA glutamic acid (anticodon UUC)
TRNAG-CCC	-	transfer RNA glycine (anticodon CCC)
TRNAK-CUU	-	transfer RNA lysine (anticodon CUU)
TRNAC-GCA	-	transfer RNA cysteine (anticodon GCA)
TRNAN-GUU	-	transfer RNA asparagine (anticodon GUU)
TRNAN-GUU	-	transfer RNA asparagine (anticodon GUU)
PPIAP61	-	peptidylprolyl isomerase A pseudogene 61
LOC107985766	-	uncharacterized LOC107985766
LOC107985767	-	uncharacterized LOC107985767
LOC107985768	-	uncharacterized LOC107985768
LOC107985769	-	uncharacterized LOC107985769
LOC107985770	-	natural cytotoxicity triggering receptor 3 ligand 1-like
LOC107985771	-	uncharacterized LOC107985771
LOC107985772	-	uncharacterized LOC107985772
LOC107985773	-	uncharacterized LOC107985773
LOC107985774	-	uncharacterized LOC107985774
LOC107985775	-	uncharacterized LOC107985775
LOC107985776	-	uncharacterized LOC107985776
LOC107985778	-	serine protease 40-like
LOC107985779	-	uncharacterized LOC107985779
LOC107985780	-	uncharacterized LOC107985780
FSIP2-AS1	-	FSIP2 antisense RNA 1
LOC107985782	-	uncharacterized LOC107985782
LOC107985783	-	uncharacterized LOC107985783
LOC107985784	-	uncharacterized LOC107985784
LOC107985785	-	uncharacterized LOC107985785
LOC107985786	-	uncharacterized LOC107985786
LOC107985787	-	uncharacterized LOC107985787
LOC107985788	-	uncharacterized LOC107985788
LOC107985789	-	succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial pseudogene
LOC107985790	-	serine/arginine-rich splicing factor 3 pseudogene
PPIAP60	-	peptidylprolyl isomerase A pseudogene 60
LOC107985792	-	uncharacterized LOC107985792
LOC107985793	-	ARL14 effector protein pseudogene
LOC107985795	-	uncharacterized LOC107985795
